GR,WDS,YEAR,TYPE
3.39,53285,1899,Hardback
3.53,49665,1966,PaperBack
3.55,67200,1945,Electronic
3.57,89230,1907,Hardback
3.58,75600,1911,PaperBack
3.58,84922,1916,Hardback
3.58,196200,1913,PaperBack
3.59,127949,1900,Hardback
3.6,96000,1903,PaperBack
3.61,59900,1954,Electronic
3.63,99771,1924,Electronic
3.65,96931,1929,Electronic
3.65,163200,1915,Hardback
3.65,158400,1903,Hardback
3.65,120000,1920,Hardback
3.65,188400,1939,Hardback
3.66,92100,1957,Hardback
3.68,105600,1955,Hardback
3.68,82200,1969,Hardback
3.68,112473,1955,PaperBack
3.69,125400,1938,PaperBack
3.69,156272,1900,Hardback
3.71,72600,1961,Hardback
3.71,95400,1934,Hardback
3.71,103576,1901,Hardback
3.72,56695,1930,Hardback
3.72,265391,1922,Hardback
3.73,57600,1932,Hardback
3.73,110400,1915,Hardback
3.73,98954,1918,Hardback
