"GR","WDS","YEAR"
3.82080165593621,34300,1946
3.94677259957375,126058,1940
4.04905367843101,80555,1963
4.03704681978768,191557,1958
3.9217236387279,180186,1974
3.85597759007554,516260,1930
4.00758683878154,202544,1962
3.81367749564273,7592,1906
3.7941560311171,56328,1968
4.10929799123815,98950,1951
4.05705847998118,39486,1927
3.84211596103986,160058,1949
4.07236935585077,152093,1917
3.99689591382129,197260,1955
3.78542524823659,70050,1924
3.60151881482634,18508,1938
3.80568115931563,179825,1924
3.82542422264919,128088,1911
3.91517960558315,60764,1940
3.97286594094017,93216,1953
3.97191124138338,53256,1978
3.88147817719988,81339,1945
3.93377073186039,9038,1933
3.76575245230447,18729,1915
3.84817147945296,260050,1922
4.00691797020019,354342,1893
4.0672532846784,124386,1941
3.67825799158872,94818,1950
4.01385483866026,35168,1965
3.80956711205731,209590,1968
4.07891153389458,340177,1930
3.78887677709474,205924,1947
4.07964269933149,172890,1920
3.99702536055659,94968,1933
3.72980870792371,140848,1950
3.71745575847732,1152,1926
4.1794100280245,356567,1964
3.86930751641376,175739,1961
3.81126556557193,186610,1931
4.05032036641779,98042,1916
3.86269007768462,143785,1962
3.9005521099522,138904,1957
3.92927831841996,172887,1930
3.84057401713112,51594,1937
4.01023874162487,85311,1919
3.88745275089184,249697,1972
3.91309313910043,38977,1925
4.05943920392578,182944,1935
4.00129692595762,120023,1920
3.92254504826856,133632,1944
3.73163672369297,83935,1952
3.88347930992187,23325,1947
3.80433763940475,82828,1963
4.09217871867847,93317,1935
3.80409125670584,212486,1941
3.65915700338285,182846,1905
3.77104475543745,212483,1912
3.77133075143675,127647,1897
3.71093790193353,207558,1941
3.8296352868137,267888,1907
3.92897832382409,18959,1937
3.93645473983852,87445,1965
3.67187084721388,260639,1898
3.78750238387512,190842,1957
3.71926820738471,95065,1947
3.91095132345659,216053,1937
