"GR","WDS","YEAR"
3.73255889080746,129551.552738024,1917.03844137259
3.60770747051231,121628.328062803,1908.22502877554
3.68225613015472,144391.359951372,1955.62001201379
3.81068165715054,32259.8192099101,1955.57766182153
3.68120851180361,143488.396208948,1929.96274120978
3.63969442010371,102125.574102917,1913.30990610239
3.69530155310505,119843.352859057,1929.89659535372
3.62410124795134,119066.089785654,1944.77212799398
3.65978612816636,122710.542686419,1911.97095630256
3.64653150814749,77357.7802853328,1941.6787018672
3.5524236370014,122903.678362653,1923.63158589627
3.71275597127514,44240.4577613596,1905.18606097268
3.85926750340674,163947.050332675,1931.71331093748
3.65897091950679,53968.2379877488,1944.11761647341
3.6572424435108,193792.391375932,1918.0545314961
3.65063486061223,37229.1587708524,1975.34141482158
3.62724747519619,171534.234674278,1943.91679395885
3.53142980697627,125848.241734313,1908.26215892642
3.61786209989707,89869.9777953337,1941.28200000433
3.56314400906448,102348.201802105,1903.75208805771
3.61374753728888,56662.8587313356,1948.04854211393
3.69686569938561,125567.910904143,1923.52857356626
3.69444958316752,92575.8286870433,1900.68771984533
3.78096221954251,133467.851590682,1949.11042018031
3.62959820649433,72513.2773689883,1913.8664511926
3.7107535700719,52464.2163585886,1948.6964607927
3.73242833728246,109160.318124793,1948.83728977104
3.78826176876474,146364.331630906,1972.01234949601
3.4553456351461,110527.937030442,1910.29288565826
3.69484834343559,190065.954390054,1931.48323874271
