"GR","WDS","YEAR"
3.61673312879265,96766,2198
3.79108083058145,16513,2048
3.74742234404901,91822,1616
3.80352754752709,102417,1567
3.50657902253589,83,2254
3.59664889982728,55408,1549
3.63844385056449,79849,1776
3.66650575089637,113438,1736
3.71080983979955,80149,1726
3.61074353700757,83060,602
3.67310962404431,14668,2097
3.6486555036023,50355,2506
3.66857306369232,94881,267
3.61872947122373,91291,1630
3.66011100418367,54810,1829
3.68068471647736,83191,1501
3.74768844601205,31839,1511
3.66587671559283,63919,1433
3.65660649396458,32184,2390
3.62980819956203,54550,335
3.63025415984662,15100,2215
3.56201159112967,126979,1698
3.58656117475839,157087,1702
3.63089171991946,63304,1855
3.67883968697364,21698,1730
3.78596679198652,55310,1495
3.85583842257459,16728,1881
3.55803186894987,41240,912
3.46454830990881,125531,1632
3.60153818112826,124952,2048
